animal_id,mammal_genus,mammal_scientific_name,mammal_type ,mammal_group,plant_pub_name,endemic_widelydistributed,native_exotic,habit,updated_genus,updated_species,family,fruit_nature,fruit_type,fruit_colour,colour_nature,fruit_odour,no_of_seed_per_fruit,seed_number,arillate_notarillate,fruit_length_l,fruit_length_h,fruit_breadth_l,fruit_breadth_h,fruit_diameter_l,fruit_diameter_h,seed_length_l,seed_length_h,seed_breadth_l,seed_breadth_h,seed_diameter_l,seed_diameter_h,iucn_status_plant,location_country,Asia_zone,author_id
Rhesus Macaque,Macaca,Macaca mulatta,Primates,Macaque,Ficus orthoneura,Widely distributed,Native,Tree,Ficus,Ficus orthoneura,Moraceae,Fig,Synconium,Green,"Light (Brown, Green, Grey, White, Yellow)",absent,many,> Twenty,Not arillate,0.25,0.4,NA,NA,1,2,NA,NA,NA,NA,NA,NA,Least Concern,China,East Asia,Tang2016
Rhesus Macaque,Macaca,Macaca mulatta,Primates,Macaque,Lysidice rhodostegia,Widely distributed,Native,Shrub,Lysidice,Lysidice rohodostegia,Fabaceae,Dry,Pod,Brown,"Light (Brown, Green, Grey, White, Yellow)",absent,7,Six-Ten,Not arillate,12,20,3,4,NA,NA,2.2,2.5,1.2,1.5,NA,NA,Least Concern,China,East Asia,Tang2016
Rhesus Macaque,Macaca,Macaca mulatta,Primates,Macaque,Aristolochia longgangensis,Widely distributed,Native,Climber,Aristolochia,Aristolochia longgagensis,Aristolchiaceae,Dry,Capsule,Brown,"Light (Brown, Green, Grey, White, Yellow)",absent,many,> Twenty,Not arillate,7,7,2.5,2.5,NA,NA,0.5,0.5,0.4,0.4,NA,NA,Not assessed,China,East Asia,Zhou2014
Rhesus Macaque,Macaca,Macaca mulatta,Primates,Macaque,Capparis cahtohiesis,Widely distributed,Native,Shrub,Capparis,Capparis cantoniensis,Capparaceae,Fleshy,Drupe,Red,"Bright (Red, Orange, Pink)",absent,1,One,Not arillate,1.5,1.8,0.8,1.2,NA,NA,0.8,1,0.6,0.8,NA,NA,Not assessed,China,East Asia,Zhou2014
Rhesus Macaque,Macaca,Macaca mulatta,Primates,Macaque,Clausena emarginata,Endemic,Native,Tree,Clausena,Clausena emarginata,Rutaceae,Fleshy,Drupe,yellow,"Light (Brown, Green, Grey, White, Yellow)",absent,3,Two-Five,Not arillate,NA,NA,NA,NA,0.8,1,NA,NA,NA,NA,NA,NA,Not assessed,China,East Asia,Zhou2014
Rhesus Macaque,Macaca,Macaca mulatta,Primates,Macaque,Ficus obscura,Widely distributed,Exotic,Tree,Ficus,Ficus obscura,Moraceae,Fig,Synconium,Orange,"Bright (Red, Orange, Pink)",absent,many,> Twenty,Not arillate,NA,NA,NA,NA,0.5,1.2,NA,NA,NA,NA,NA,NA,Least Concern,China,East Asia,Zhou2014
Rhesus Macaque,Macaca,Macaca mulatta,Primates,Macaque,Iodes ovalis,Widely distributed,Exotic,Shrub,Iodes,Iodes ovalis,Icacinaceae,Fleshy,Drupe,Red,"Bright (Red, Orange, Pink)",absent,1,One,Not arillate,1.5,2.5,1,1.14,NA,NA,NA,NA,NA,NA,NA,NA,Not assessed,China,East Asia,Zhou2014
Rhesus Macaque,Macaca,Macaca mulatta,Primates,Macaque,Pothos repens,Widely distributed,Native,Climber,Pothos,Pothos repens,Araceae,Fleshy,Drupe,Red,"Bright (Red, Orange, Pink)",absent,1,One,Not arillate,0.7,1.5,1,1.4,NA,NA,NA,NA,NA,NA,NA,NA,Not assessed,China,East Asia,Zhou2014
Rhesus Macaque,Macaca,Macaca mulatta,Primates,Macaque,Urobotrya latisquama,Widely distributed,Native,Shrub,Urobotrya,Urobotrya latisquama,Opiliaceae,Fleshy,Drupe,Orange,"Bright (Red, Orange, Pink)",absent,1,One,Not arillate,1,1.5,0.8,0.9,NA,NA,NA,NA,NA,NA,NA,NA,Least Concern,China,East Asia,Zhou2014
Small Indian Civet,Viverricula,Viverricula indica,Carnivore,Viverrid,Litsea acuminate,Widely distributed,Native,Tree,Actinodaphne,Actinodaphne acuminata,Lauraceae,Fleshy,Drupe,Black,"Dark (Black, Blue, Purple, Violet)",absent,1,One,Not arillate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Least Concern,China,East Asia,Chunag & Lee 1997
Small Indian Civet,Viverricula,Viverricula indica,Carnivore,Viverrid,Elaeagnus tutcheri,Endemic,Native,Shrub,Elaeagnus,Elaeagnus tutcheri,Elaegnaceae,Fleshy,Drupe,Red,"Bright (Red, Orange, Pink)",absent,1,One,Not arillate,NA,NA,NA,NA,1,1.2,NA,NA,NA,NA,NA,NA,Not assessed,China,East Asia,Wan 2009
Small Indian Civet,Viverricula,Viverricula indica,Carnivore,Viverrid,Ficus subpisocarpa,Widely distributed,Native,Tree,Ficus,Ficus subpisocarpa,Moraceae,Fig,Synconium,Black,"Dark (Black, Blue, Purple, Violet)",absent,many,> Twenty,Not arillate,NA,NA,NA,NA,0.5,0.8,NA,NA,NA,NA,NA,NA,Least Concern,China,East Asia,Wan 2009
Small Indian Civet,Viverricula,Viverricula indica,Carnivore,Viverrid,Litsea rotundifolia var. oblongifolia,Widely distributed,Native,Tree,Litsea ,Litsea rotundifolia,Lauraceae,Fleshy,Drupe,Black,"Dark (Black, Blue, Purple, Violet)",absent,1,One,Not arillate,NA,NA,NA,NA,0.6,0.6,NA,NA,NA,NA,NA,NA,Least Concern,China,East Asia,Wan 2009
Small Indian Civet,Viverricula,Viverricula indica,Carnivore,Viverrid,Melastoma candidum,Widely distributed,Native,Shrub,Melastoma,Melastoma malabathricum,Melastomataceae,Fleshy,Capsule,Brown,"Light (Brown, Green, Grey, White, Yellow)",absent,many,> Twenty,Not arillate,0.6,1.5,0.6,1.2,NA,NA,NA,NA,NA,NA,NA,NA,Not assessed,China,East Asia,Wan 2009
Small Indian Civet,Viverricula,Viverricula indica,Carnivore,Viverrid,Psychotria asiatica,Widely distributed,Native,Shrub,Psychotria,Psychotria asiatica,Rubiaceae,Fleshy,Drupe,Red,"Bright (Red, Orange, Pink)",absent,1,One,Not arillate,0.5,0.8,0.4,0.7,NA,NA,NA,NA,NA,NA,NA,NA,Least Concern,China,East Asia,Wan 2009
Small Indian Civet,Viverricula,Viverricula indica,Carnivore,Viverrid,Rhaphiolepis indica,Widely distributed,Native,Shrub,Rhaphiolepis,Rhaphiolepis indica,Rosaceae,Fleshy,Pome,Black,"Dark (Black, Blue, Purple, Violet)",absent,2,Two-Five,Not arillate,NA,NA,NA,NA,0.5,0.8,NA,NA,NA,NA,NA,NA,Least Concern,China,East Asia,Wan 2009
Small Indian Civet,Viverricula,Viverricula indica,Carnivore,Viverrid,Smilax corbularia,Widely distributed,Native,Climber,Smilax,Smilax corbularia,Smilacaceae,Fleshy,Berry,Red,"Bright (Red, Orange, Pink)",absent,2,Two-Five,Not arillate,NA,NA,NA,NA,0.6,0.7,NA,NA,NA,NA,NA,NA,Not assessed,China,East Asia,Wan 2009
Small Indian Civet,Viverricula,Viverricula indica,Carnivore,Viverrid,Uvaria microcarpa,Widely distributed,Native,Climber,Uvaria,Uvaria microcarpa,Annonaceae,Fleshy,Berry,Purple,"Dark (Black, Blue, Purple, Violet)",absent,8,Six-Ten,Not arillate,2,2,1,1,NA,NA,0.8,0.8,0.8,0.8,NA,NA,Not assessed,China,East Asia,Wan 2009
White-headed langur,Trachypithecus,Trachypithecus leucocephalus,Primates,Ceropithecidae,Tetrastigma planicaule,Widely distributed,Native,Climber,Tetrastigma,Tetrastigma planicaule,Vitaceae,Fleshy,Berry,Black,"Dark (Black, Blue, Purple, Violet)",absent,3,Two-Five,Not arillate,1.5,2.5,1,2,NA,NA,1.2,1.5,1,2,NA,NA,Not assessed,China,East Asia,Huang2017
White-headed langur,Trachypithecus,Trachypithecus leucocephalus,Primates,Ceropithecidae,Celtis bondii,Widely distributed,Native,Tree,Celtis,Celtis sinensis,Cannabaceae,Fleshy,Drupe,Red,"Bright (Red, Orange, Pink)",absent,1,One,Not arillate,NA,NA,NA,NA,0.5,0.7,NA,NA,NA,NA,0.46,0.48,Least Concern,China,East Asia,Huang2017
White-headed langur,Trachypithecus,Trachypithecus leucocephalus,Primates,Ceropithecidae,Sterculia nobilis,Widely distributed,Native,Tree,Sterculia,Sterculia monosperma,Malvaceae,Dry,Follicle,Red,"Bright (Red, Orange, Pink)",absent,4,Two-Five,Not arillate,5,5,2,3,NA,NA,NA,NA,NA,NA,1.5,1.5,Least Concern,China,East Asia,Huang2017
White-headed langur,Trachypithecus,Trachypithecus leucocephalus,Primates,Ceropithecidae,Maclura cochinchinensis,Widely distributed,Native,Shrub,Maclura,Maclura cochinchinensis,Moraceae,Fleshy,Syncarp,Yellow,"Light (Brown, Green, Grey, White, Yellow)",present,many,> Twenty,Not arillate,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,Not assessed,China,East Asia,Huang2017
White-headed langur,Trachypithecus,Trachypithecus leucocephalus,Primates,Ceropithecidae,Ficus virens,Widely distributed,Native,Tree,Ficus,Ficus virens,Moraceae,Fig,Synconium,White,"Light (Brown, Green, Grey, White, Yellow)",present,many,> Twenty,Not arillate,NA,NA,NA,NA,1.2,1.5,NA,NA,NA,NA,NA,NA,Least Concern,China,East Asia,Huang2017
White-headed langur,Trachypithecus,Trachypithecus leucocephalus,Primates,Ceropithecidae,Gouania javanica,Widely distributed,Native,Climber,Gouania,Gouania obtusifolia,Rhamnaceae,Fleshy,Capsule,Yellow,"Light (Brown, Green, Grey, White, Yellow)",absent,3,Two-Five,Not arillate,0.8,0.9,0.9,1,NA,NA,0.3,0.3,0.25,0.25,NA,NA,Not assessed,China,East Asia,Huang2017
White-headed langur,Trachypithecus,Trachypithecus poliocephalus,Primates,Ceropithecidae,Desmos cochinchinensis,Widely distributed,Native,Climber,Desmos,Desmos cochinchinensis,Annonaceae,Fleshy,Monocarp,Black,"Dark (Black, Blue, Purple, Violet)",absent,4,Two-Five,Not arillate,1.9,2.7,0.5,0.6,NA,NA,0.55,0.84,0.5,0.6,NA,NA,Not assessed,China,East Asia,Yin2011
White-headed langur,Trachypithecus,Trachypithecus poliocephalus,Primates,Ceropithecidae,Bauhinia championii,Widely distributed,Native,Climber,Phanera,Phanera championii,Fabaceae,Dry,Pod,Brown,"Light (Brown, Green, Grey, White, Yellow)",absent,5,Two-Five,Not arillate,7,12,2.5,3,NA,NA,NA,NA,NA,NA,1.2,1.2,Not assessed,China,East Asia,Yin2011
White-headed langur,Trachypithecus,Trachypithecus poliocephalus,Primates,Ceropithecidae,Caesalpinia sappan,Widely distributed,Native,Tree,Biancea,Biancea sappan,Fabaceae,Dry,Pod,Brown,"Light (Brown, Green, Grey, White, Yellow)",absent,4,Two-Five,Not arillate,7,7,3.5,4,NA,NA,1.8,2,1,1.2,NA,NA,Least Concern,China,East Asia,Yin2011
White-headed langur,Trachypithecus,Trachypithecus poliocephalus,Primates,Ceropithecidae,Croton euryphyllus,Endemic,Native,Shrub,Croton,Croton euryphyllus,Euphorbiaceae,Dry,Capsule,Brown,"Light (Brown, Green, Grey, White, Yellow)",absent,3,Two-Five,Not arillate,1.2,1.5,1.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,Least Concern,China,East Asia,Yin2011
White-headed langur,Trachypithecus,Trachypithecus poliocephalus,Primates,Ceropithecidae,Pristimera arborea,Widely distributed,Native,Climber,Reissantia,Reissantia arborea ,Celastraceae,Dry,Capsule,Brown,"Light (Brown, Green, Grey, White, Yellow)",absent,2,Two-Five,Not arillate,7.5,7.5,4,4,NA,NA,2.5,2.5,NA,NA,NA,NA,Not assessed,China,East Asia,Yin2011
White-headed langur,Trachypithecus,Trachypithecus poliocephalus,Primates,Ceropithecidae,Salacia sessiliflora,Endemic,Native,Shrub,Salacia,Salacia sessiliflora,Celastraceae,Fleshy,Berry,Orange,"Bright (Red, Orange, Pink)",absent,4,Two-Five,Not arillate,NA,NA,NA,NA,2,4.5,NA,NA,NA,NA,NA,NA,Not assessed,China,East Asia,Yin2011
White-headed langur,Trachypithecus,Trachypithecus poliocephalus,Primates,Ceropithecidae,Acacia sinuata,Widely distributed,Native,Climber,Senegalia,Senegalia rugata,Fabaceae,Dry,Pod,Brown,"Light (Brown, Green, Grey, White, Yellow)",absent,14,Eleven-Twenty,Not arillate,3.5,10,1.5,2,NA,NA,1,1.1,0.7,0.8,NA,NA,Not assessed,China,East Asia,Yin2011
White-headed langur,Trachypithecus,Trachypithecus poliocephalus,Primates,Ceropithecidae,Albizia kalkora,Widely distributed,Native,Tree,Albizia,Albizia kalkora,Fabaceae,Dry,Pod,Brown,"Light (Brown, Green, Grey, White, Yellow)",absent,12,Eleven-Twenty,Not arillate,7,17,1.5,3,NA,NA,NA,NA,NA,NA,NA,NA,Least Concern,China,East Asia,Yin2011
White-headed langur,Trachypithecus,Trachypithecus poliocephalus,Primates,Ceropithecidae,Ficus callosa,Widely distributed,Native,Tree,Ficus,Ficus callosa,Moraceae,Fig,Synconium,Yellow,"Light (Brown, Green, Grey, White, Yellow)",absent,many,> Twenty,Not arillate,1.2,2.5,1,1.5,NA,NA,NA,NA,NA,NA,NA,NA,Not assessed,China,East Asia,Yin2011
White-headed langur,Trachypithecus,Trachypithecus poliocephalus,Primates,Ceropithecidae,Berchemia racemosa,Widely distributed,Native,Climber,Berchemia,Berchemia floribunda,Rhamnaceae,Fleshy,Drupe,Red,"Bright (Red, Orange, Pink)",absent,1,One,Not arillate,0.7,1,0.4,0.5,NA,NA,NA,NA,NA,NA,0.42,0.48,Least Concern,China,East Asia,Yin2011
White-headed langur,Trachypithecus,Trachypithecus poliocephalus,Primates,Ceropithecidae,Gouania leptostachya,Widely distributed,Native,Shrub,Gouania,Gouania leptostachya,Rhamnaceae,Fleshy,Drupe,Black,"Dark (Black, Blue, Purple, Violet)",absent,2,Two-Five,Not arillate,0.7,1.2,0.4,0.6,NA,NA,0.6,0.8,0.3,0.4,NA,NA,Not assessed,China,East Asia,Yin2011
White-headed langur,Trachypithecus,Trachypithecus poliocephalus,Primates,Ceropithecidae,Lantana camara,Widely distributed,Exotic,Shrub,Lantana,Lantana camara,Lamiaceae,Fleshy,Drupe,Black ,"Dark (Black, Blue, Purple, Violet)",absent,2,Two-Five,Not arillate,NA,NA,0.5,0.5,0.3,0.5,NA,NA,NA,NA,0.3,0.3,Not assessed,China,East Asia,Yin2011
White-headed langur,Trachypithecus,Trachypithecus poliocephalus,Primates,Ceropithecidae,Tetrastigma obtectum,Widely distributed,Native,Climber,Tetrastigma,Tetrastigma obtectum,Vitaceae,Fleshy,Berry,Green,"Light (Brown, Green, Grey, White, Yellow)",absent,4,Two-Five,Not arillate,NA,NA,NA,NA,0.15,0.3,NA,NA,NA,NA,NA,NA,Not assessed,China,East Asia,Yin2011
Arunachal Macaque,Macaca,Macaca munzala,Primates,Macaque,Mahonia napaulensis,Widely distributed,Native,Tree,Berberis,Berberis napaulensis,Berberidaceae,Fleshy,Berry,Black,"Dark (Black, Blue, Purple, Violet)",absent,7,Six-Ten,Not arillate,NA,NA,NA,NA,0.5,0.7,NA,NA,NA,NA,NA,NA,Not assessed,India,Indian subcontinent,Mendiratta et al 2009
Arunachal Macaque,Macaca,Macaca munzala,Primates,Macaque,Rubus ellipticus,Widely distributed,Native,Climber,Rubus ,Rubus ellipticus,Rosaceae,Fleshy,aggregate of drupelets,Yellow,"Light (Brown, Green, Grey, White, Yellow)",absent,many,> Twenty,Not arillate,NA,NA,NA,NA,0.6,1,NA,NA,NA,NA,0.1,0.15,Least Concern,India,Indian subcontinent,Mendiratta et al 2009
Arunachal Macaque,Macaca,Macaca munzala,Primates,Macaque,Viburnum sp,NA,NA,NA,Viburnum,Viburnum sp.,Viburnaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,India,Indian subcontinent,Suresh kumar et al 2007
Arunachal Macaque,Macaca,Macaca munzala,Primates,Macaque,Rhus waliichi,Widely distributed,Native,Tree,Toxicodendron,Toxicodendron walliichii,Anacardiaceae,Fleshy,Drupe,Brown,"Light (Brown, Green, Grey, White, Yellow)",absent,1,One,Not arillate,0.5,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Least Concern,India,Indian subcontinent,Suresh kumar et al 2007
Arunachal Macaque,Macaca,Macaca munzala,Primates,Macaque,Elaeagnus pyriformis,Widely distributed,Native,Climber,Elaeagnus,Elaegnus pyriformis,Elaeagnaceae,Fleshy,Drupe,Red,"Bright (Red, Orange, Pink)",present,1,One,Not arillate,0.9,1,0.6,0.7,NA,NA,NA,NA,NA,NA,NA,NA,Not assessed,India,Indian subcontinent,Suresh kumar et al 2007
Arunachal Macaque,Macaca,Macaca munzala,Primates,Macaque,Glochidion sp,NA,NA,NA,Glochidion,Glochidion sp.,Phyllanthaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,India,Indian subcontinent,Suresh kumar et al 2007
Asiatic Black Bear,Ursus,Ursus thibetanus,Carnivore,Ursid,Dilenia indica,Widely distributed,Native,Tree,Dillenia,Dillenia indica,Dilleniaceae,Fleshy,Pseudocarp,Yellow,"Light (Brown, Green, Grey, White, Yellow)",present,many,> Twenty,Not arillate,10,12,9,10,10,12,NA,NA,NA,NA,0.6,0.9,Least Concern,India,Indian subcontinent,Dasgupta et al 2015
Asiatic Black Bear,Ursus,Ursus thibetanus,Carnivore,Ursid,Anthocephalus cadamba,Widely distributed,Native,Tree,Neolamarckia,Neolamarckia cadamba,Rubiaceae,Fleshy,head of capsules,Yellow,"Light (Brown, Green, Grey, White, Yellow)",absent,many,> Twenty,Not arillate,NA,NA,NA,NA,3.5,5,NA,NA,NA,NA,0.05,0.07,Not assessed,India,Indian subcontinent,Dasgupta et al 2015
Asiatic Black Bear,Ursus,Ursus thibetanus,Carnivore,Ursid,Livistona jenkinsiana,Widely distributed,Native,Tree,Livistona,Livistona jenkinsiana,Arecaceae,Fleshy,Drupe,Blue,"Dark (Black, Blue, Purple, Violet)",absent,1,One,Not arillate,3.5,3.5,2.5,2.5,1.6,2.5,NA,NA,NA,NA,1.7,2,Not assessed,India,Indian subcontinent,Dasgupta et al 2015
Asiatic Black Bear,Ursus,Ursus thibetanus,Carnivore,Ursid,Canarium bengalense,Widely distributed,Native,Tree,Canarium,Canarium bengalense,Burseraceae,Fleshy,Drupe,Purple,"Dark (Black, Blue, Purple, Violet)",absent,1,One,Not arillate,4,5,1.5,2,NA,NA,NA,NA,NA,NA,NA,NA,Not assessed,India,Indian subcontinent,Dasgupta et al 2015
Asiatic Black Bear,Ursus,Ursus thibetanus,Carnivore,Ursid,Macaranga sp,NA,NA,NA,Macaranga,Macaranga sp.,Euphorbiaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,India,Indian subcontinent,Dasgupta et al 2015
Asiatic Black Bear,Ursus,Ursus thibetanus,Carnivore,Ursid,Horsfieldia Kingii  ,Widely distributed,Native,Tree,Horsfieldia,Horsfieldia kingii,Myristicaceae,Dry,Capsule,Brown,"Light (Brown, Green, Grey, White, Yellow)",absent,1,One,Arillate,4,4.5,2.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,Not assessed,India,Indian subcontinent,Dasgupta et al 2015
Asiatic Black Bear,Ursus,Ursus thibetanus,Carnivore,Ursid,Pinanga gracilis,Widely distributed,Native,Tree,Pinanga,Pinanga gracilis,Arecaceae,Fleshy,Drupe,Red,"Bright (Red, Orange, Pink)",absent,1,One,Not arillate,1.8,1.8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,Not assessed,India,Indian subcontinent,Dasgupta et al 2015
Asiatic Black Bear,Ursus,Ursus thibetanus,Carnivore,Ursid,Calamus sp,NA,NA,NA,Calamus,Calamus sp.,Arecaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,India,Indian subcontinent,Dasgupta et al 2015
Asiatic Black Bear,Ursus,Ursus thibetanus,Carnivore,Ursid,Berberis asiatica,Widely distributed,Native,Shrub,Berberis,Berberis asiatica,Berberidaceae,Fleshy,Berry,Black,"Dark (Black, Blue, Purple, Violet)",absent,5,Two-Five,Not arillate,0.8,1,0.5,0.7,NA,NA,NA,NA,NA,NA,NA,NA,Not assessed,India,Indian subcontinent,Sathyakumar & Vishwanath  2003
Asiatic Black Bear,Ursus,Ursus thibetanus,Carnivore,Ursid,Quercus leucotrichophora,Widely distributed,Native,Tree,Quercus ,Quercus leucotrichophora,Fagaceae,Dry,Acorn,Orange,"Bright (Red, Orange, Pink)",absent,1,One,Not arillate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,Near Threatened,India,Indian subcontinent,Sathyakumar & Vishwanath  2003
Asiatic Black Bear,Ursus,Ursus thibetanus,Carnivore,Ursid,Quercus semecarpifolia,Widely distributed,Native,Tree,Quercus ,Quercus semecarpifolia,Fagaceae,Dry,Acorn,Brown,"Light (Brown, Green, Grey, White, Yellow)",absent,1,One,Not arillate,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,Least Concern,India,Indian subcontinent,Sathyakumar & Vishwanath  2003
Asiatic Black Bear,Ursus,Ursus thibetanus,Carnivore,Ursid,Symplocos theifolia,Widely distributed,Native,Tree,Symplocos,Symplocos theifolia,Symplocaceae,Fleshy,Drupe,Brown,"Light (Brown, Green, Grey, White, Yellow)",absent,1,One,Not arillate,0.6,1.5,0.4,0.7,NA,NA,NA,NA,NA,NA,NA,NA,Not assessed,India,Indian subcontinent,Sathyakumar & Vishwanath  2003
Asiatic Black Bear,Ursus,Ursus thibetanus,Carnivore,Ursid,Berberis lycium ,Widely distributed,Native,Shrub,Berberis,Berberis lycium,Berberidaceae,Fleshy,Berry,Black,"Dark (Black, Blue, Purple, Violet)",absent,many,> Twenty,Not arillate,0.9,0.9,0.5,0.5,NA,NA,0.4,0.4,NA,NA,NA,NA,Not assessed,India,Indian subcontinent,Yadav et al 2019
Asiatic Black Bear,Ursus,Ursus thibetanus,Carnivore,Ursid,Cotoneaster garhwalensis,Widely distributed,Native,Shrub,Cotoneaster,Cotoneaster adpressus,Rosaceae,Fleshy,Pome,Red,"Bright (Red, Orange, Pink)",absent,1,One,Not arillate,NA,NA,NA,NA,0.7,0.9,NA,NA,NA,NA,NA,NA,Not assessed,India,Indian subcontinent,Yadav et al 2019
Asiatic Black Bear,Ursus,Ursus thibetanus,Carnivore,Ursid,Cotoneaster rotundifolius,Widely distributed,Native,Shrub,Cotoneaster,Cotoneaster rotundifolius,Rosaceae,Fleshy,Pome,Red,"Bright (Red, Orange, Pink)",absent,1,One,Not arillate,NA,NA,NA,NA,0.7,0.9,NA,NA,NA,NA,NA,NA,Not assessed,India,Indian subcontinent,Yadav et al 2019
Asiatic Black Bear,Ursus,Ursus thibetanus,Carnivore,Ursid,Prinsepia utilis,Widely distributed,Native,Shrub,Prinsepia,Prinsepia utilis,Rosaceae,Fleshy,Pome,Purple,"Dark (Black, Blue, Purple, Violet)",absent,1,One,Not arillate,1.2,1.5,NA,NA,1.8,2,0.8,1,NA,NA,1.2,1.4,Not assessed,India,Indian subcontinent,Yadav et al 2019
Asiatic Black Bear,Ursus,Ursus thibetanus,Carnivore,Ursid,Prunus cornuta,Widely distributed,Native,Tree,Prunus ,Prunus cornuta,Rosaceae,Fleshy,Drupe,Black,"Dark (Black, Blue, Purple, Violet)",absent,1,One,Not arillate,NA,NA,NA,NA,0.8,0.8,NA,NA,NA,NA,0.7,0.8,Not assessed,India,Indian subcontinent,Yadav et al 2019
Asiatic Black Bear,Ursus,Ursus thibetanus,Carnivore,Ursid,Pyracantha crenulata ,Widely distributed,Native,Shrub,Pyracantha,Pyracantha crenulata,Rosaceae,Fleshy,Pome,Red,"Bright (Red, Orange, Pink)",absent,10,Six-Ten,Not arillate,NA,NA,NA,NA,0.3,0.8,0.15,0.16,NA,NA,0.49,0.5,Not assessed,India,Indian subcontinent,Yadav et al 2019
Asiatic Black Bear,Ursus,Ursus thibetanus,Carnivore,Ursid,Ribes himalense ,Widely distributed,Native,Shrub,Ribes,Ribes himalense,Grossulariaceae,Fleshy,Berry,Black,"Dark (Black, Blue, Purple, Violet)",absent,many,> Twenty,Not arillate,NA,NA,NA,NA,0.6,0.7,NA,NA,NA,NA,NA,NA,Not assessed,India,Indian subcontinent,Yadav et al 2019
Asiatic Black Bear,Ursus,Ursus thibetanus,Carnivore,Ursid,Rubus pedunculosus ,Widely distributed,Native,Shrub,Rubus,Rubus pedunculosus,Rosaceae,Fleshy,aggregate of drupelets,Black,"Dark (Black, Blue, Purple, Violet)",absent,many,> Twenty,Not arillate,1,1.5,NA,NA,1,2,NA,NA,NA,NA,NA,NA,Not assessed,India,Indian subcontinent,Yadav et al 2019
Asiatic Black Bear,Ursus,Ursus thibetanus,Carnivore,Ursid,Sorbus foliolosa,Widely distributed,Native,Shrub,Sorbus,Sorbus foliolosa,Rosaceae,Fleshy,Pome,Red,"Bright (Red, Orange, Pink)",absent,2,Two-Five,Not arillate,NA,NA,NA,NA,0.4,0.6,NA,NA,NA,NA,0.1,0.2,Least Concern,India,Indian subcontinent,Yadav et al 2019
Asiatic Black Bear,Ursus,Ursus thibetanus,Carnivore,Ursid,Morus serrata,Widely distributed,Native,Tree,Morus,Morus serrata,Moraceae,Fleshy,Sorosis,Red,"Bright (Red, Orange, Pink)",absent,many,> Twenty,Not arillate,1.2,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not assessed,India,Indian subcontinent,Yadav et al 2019
Asiatic Black Bear,Ursus,Ursus thibetanus,Carnivore,Ursid,Prunus armeniaca ,Widely distributed,Native,Tree,Prunus ,Prunus armeniaca,Rosaceae,Fleshy,Drupe,Orange,"Bright (Red, Orange, Pink)",present,1,One,Not arillate,NA,NA,NA,NA,1.5,2.5,NA,1.8,1.8,1.5,1.5,NA,Data deficient,India,Indian subcontinent,Yadav et al 2019
Asiatic Black Bear,Ursus,Ursus thibetanus,Carnivore,Ursid,Quercus floribunda,Widely distributed,Native,Tree,Quercus ,Quercus floribunda,Fagaceae,Dry,Acorn,Brown,"Light (Brown, Green, Grey, White, Yellow)",absent,1,One,Not arillate,2,2.5,NA,NA,1.6,1.8,NA,NA,NA,NA,NA,NA,Least Concern,India,Indian subcontinent,Yadav et al 2019
Asiatic Black Bear,Ursus,Ursus thibetanus,Carnivore,Ursid,Pyrus pashia (Rosaceae),Widely distributed,Native,Tree,Pyrus,Pyrus pashia,Rosaceae,Fleshy,pome,Brown,"Light (Brown, Green, Grey, White, Yellow)",present,many,> Twenty,Not arillate,NA,NA,NA,NA,1,4,0.7,0.7,0.25,0.25,NA,NA,Least Concern,India,Indian subcontinent,Yadav et al 2019
Assamese Macaque,Macaca,Macaca assamensis,Primates,Macaque,Ficus semicordata,Widely distributed,Native,Tree,Ficus,Ficus semicordata,Moraceae,Fig,Synconium,Pink,"Bright (Red, Orange, Pink)",absent,many,> Twenty,Not arillate,NA,NA,NA,NA,1.2,2,NA,NA,NA,NA,NA,NA,Least Concern,India,Indian subcontinent,Justa et al 2019
Assamese Macaque,Macaca,Macaca assamensis,Primates,Macaque,Olea gladulifera,Widely distributed,Native,Tree,Olea,Olea paniculata,Oleaceae,Fleshy,Drupe,Brown,"Light (Brown, Green, Grey, White, Yellow)",absent,1,One,Not arillate,1.2,1.5,0.6,0.7,NA,NA,NA,NA,NA,NA,NA,NA,Not assessed,India,Indian subcontinent,Justa et al 2019
