animal_id,mammal_genus,mammal_scientific_name,mammal_type ,mammal_group,plant_pub_name,endemic_widelydistributed,native_exotic,habit,updated_genus,updated_species,family,fruit_nature,fruit_type,fruit_colour,colour_nature,fruit_odour,no_of_seed_per_fruit,seed_number,arillate_notarillate,fruit_length_l,fruit_length_h,fruit_breadth_l,fruit_breadth_h,fruit_diameter_l,fruit_diameter_h,seed_length_l,seed_length_h,seed_breadth_l,seed_breadth_h,seed_diameter_l,seed_diameter_h,iucn_status_plant,location_country,Asia_zone,author_id
Stump-tailed Macaque,Macaca,Macaca arctoides,Primates,Macaque,Lasianthus sikkimensis,Widely distributed,Native,Shrub,Lasianthus,Lasianthus sikkimensis,Rubiaceae,Fleshy,Berry,Blue,"Dark (Black, Blue, Purple, Violet)",absent,9,Six-Ten,Not arillate,NA,NA,NA,NA,0.6,0.8,NA,NA,NA,NA,NA,NA,Not assessed,India,Indian subcontinent,Sharma 2012
Stump-tailed Macaque,Macaca,Macaca arctoides,Primates,Macaque,Morinda angustifolia,Widely distributed,Native,Shrub,Morinda,Morinda angustifolia,Rubiaceae,Fleshy,Drupe,White,"Light (Brown, Green, Grey, White, Yellow)",present,many,> Twenty,Not arillate,NA,NA,NA,NA,2.5,2.5,NA,NA,NA,NA,NA,NA,Not assessed,India,Indian subcontinent,Sharma 2012
Stump-tailed Macaque,Macaca,Macaca arctoides,Primates,Macaque,Pavetta Indica,Widely distributed,Native,Shrub,Pavetta,Pavetta indica,Rubiaceae,Fleshy,Drupe,Black,"Dark (Black, Blue, Purple, Violet)",absent,2,Two-Five,Not arillate,NA,NA,NA,NA,0.6,0.6,NA,NA,NA,NA,NA,NA,Not assessed,India,Indian subcontinent,Sharma 2012
Stump-tailed Macaque,Macaca,Macaca arctoides,Primates,Macaque,Croton caudatus,Widely distributed,Native,Shrub,Croton,Croton caudatus,Euphorbiaceae,Dry,Capsule,Yellow,"Light (Brown, Green, Grey, White, Yellow)",absent,3,Two-Five,Not arillate,2,2,1.7,17,1,1,NA,NA,NA,NA,NA,NA,Not assessed,India,Indian subcontinent,Sharma 2012
Stump-tailed Macaque,Macaca,Macaca arctoides,Primates,Macaque,Adina oligocephala,Widely distributed,Native,Tree,Khasiaclunea,Khasiaclunea oligocephala,Rubiaceae,Fleshy,head of capsules,White,"Light (Brown, Green, Grey, White, Yellow)",absent,many,> Twenty,Not arillate,NA,NA,NA,NA,1,1.2,NA,NA,NA,NA,NA,NA,Not assessed,India,Indian subcontinent,Sharma 2012
Stump-tailed Macaque,Macaca,Macaca arctoides,Primates,Macaque,Palaquium polyanthum,Widely distributed,Native,Tree,Palaquium ,Palaquium polyanthum,Sapotaceae,Fleshy,Berry,Brown,"Light (Brown, Green, Grey, White, Yellow)",absent,3,Two-Five,Not arillate,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not assessed,India,Indian subcontinent,Sharma 2012
Stump-tailed Macaque,Macaca,Macaca arctoides,Primates,Macaque,Gnetum gnemon,Widely distributed,Native,Shrub,Gnetum,Gnetum gnemon,Gnetaceae,Dry,cone,Pink,"Bright (Red, Orange, Pink)",absent,1,One,Not arillate,NA,NA,NA,NA,NA,NA,1,2.5,0.9,0.9,NA,NA,Least Concern,India,Indian subcontinent,Sharma 2012
Western Hoolock Gibbon,Hoolock,Hoolock hoolock,Primates,Hominidae,Canarium resiniferum,Widely distributed,Native,Tree,Canarium,Canarium resiniferum,Burseraceae,Fleshy,Drupe,Yellow,"Light (Brown, Green, Grey, White, Yellow)",present,1,One,Not arillate,5,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,Least Concern,India,Indian subcontinent,Barua & Gogoi 2012
Western Hoolock Gibbon,Hoolock,Hoolock hoolock,Primates,Hominidae,Cissus assamica,Widely distributed,Native,Climber,Cissus,Cissus assamica,Vitaceae,Fleshy,Berry,Black,"Dark (Black, Blue, Purple, Violet)",absent,1,One,Not arillate,0.7,1,0.6,0.7,NA,NA,NA,NA,NA,NA,NA,NA,Not assessed,India,Indian subcontinent,Barua & Gogoi 2012
Western Hoolock Gibbon,Hoolock,Hoolock hoolock,Primates,Hominidae,Cinnamomum glausescens,Widely distributed,Native,Tree,Cinnamomum,Cinnamomum glaucescens,Lauraceae,Fleshy,Drupe,Black,"Dark (Black, Blue, Purple, Violet)",present,1,One,Not arillate,NA,NA,NA,NA,1.5,1,NA,NA,NA,NA,NA,NA,Not assessed,India,Indian subcontinent,Barua & Gogoi 2012
