"author_of_the_papers","year_of_publishing","paper_heading","mammal_species","mammal_group","country","BIOME_NAME","ECO_NAME","REALM","SHAPE_LENG","SHAPE_AREA","geometry"
"Barua & Gogoi 2012",2012,"Observation on feeding & Lodging behaviour of Hoolock hoolock (Western Hoolock Gibbon) in Gibbon Wildlife Sanctuary, Assam.","Western hoolock gibbon","Primate","India","Tropical & Subtropical Moist Broadleaf Forests","Brahmaputra Valley semi-evergreen forests","Indomalayan",17.6517448979,5.14101713833,c(94.35989444, 26.666025)
"Baskaran & Desai 2013",2013,"Frugivory and seed dispersal by the Asian Elephant Elephas maximus in the tropical forests of Nilgiri Biosphere Reserve, southern India","Elephant","Herbivore","India","Tropical & Subtropical Moist Broadleaf Forests","South Western Ghats moist deciduous forests","Indomalayan",23.2135626313,1.95732797404,c(76.62979167, 11.66589444)
"Baskaran et al 2011",2011,"Behavioural ecology of four-horned antelope (Tetracerus quadricornis de Blainville, 1816) in the tropical forests of southern India","Four-horned antelope","Herbivore","India","Tropical & Subtropical Moist Broadleaf Forests","South Western Ghats moist deciduous forests","Indomalayan",23.2135626313,1.95732797404,c(76.53455, 11.56229167)
"Baskaran et al 2015",2015,"On the Behavioural Ecology of Sloth Bear (Melursus ursinus Shaw 1791) in Mudumalai Wildlife Sanctuary, Western Ghats, India","Sloth bear","Carnivore","India","Tropical & Subtropical Moist Broadleaf Forests","South Western Ghats moist deciduous forests","Indomalayan",23.2135626313,1.95732797404,c(76.53455, 11.56229167)
"Baskaran et al 2020",2020,"Golden Jackal Canis aureus Linnaeus, 1758 (Mammalia: Carnivora: Canidae) distribution pattern and feeding at Point Calimere Wildlife Sanctuary, India","Golden Jackal","Carnivore","India","Deserts & Xeric Shrublands","Godavari-Krishna mangroves","Indomalayan",16.5759477632,0.591342978906,c(79.82991389, 10.28644167)
"Bauri & Saikia 2014",2014,"Preliminary study on thc food plant spccics of Endangcrcd Asiatic Wild Watcr Buffalo Bubalus arnee Kerr. in Kaziranga National Park, Assam India","Wild water buffalo","Herbivore","India","Tropical & Subtropical Moist Broadleaf Forests","Brahmaputra Valley semi-evergreen forests","Indomalayan",17.6517448979,5.14101713833,c(93.59292778, 26.64564444)
"Bhatt 2010",2010,"ROLE OF ASIAN ELEPHANT (Elephus maximus) IN DISPERSING Mallotus phillipinensis IN BARDIA NATIONAL PARK, NEPAL","Elephant","Herbivore","Nepal","Tropical & Subtropical Moist Broadleaf Forests","Himalayan subtropical broadleaf forests","Indomalayan",140.086187108,3.48649735869,c(81.55964167, 28.36486389)
"Biswas 2002",2002,"Ecology and social behaviour of golden langur trachypithecus geei Khajuria 1956 in Assam","Golden langur","Carnivore","India","Tropical & Subtropical Moist Broadleaf Forests","Brahmaputra Valley semi-evergreen forests","Indomalayan",17.6517448979,5.14101713833,c(90.32948333, 26.33762222)
"Borah et al 2018",2018,"Diet and feeding ecology of the western hoolock gibbon (Hoolock hoolock) in a tropical forest fragment of Northeast India","Western hoolock gibbon","Primate","India","Tropical & Subtropical Moist Broadleaf Forests","Brahmaputra Valley semi-evergreen forests","Indomalayan",17.6517448979,5.14101713833,c(94.35989444, 26.666025)
"Brockelman et al 2022",2022,"Dispersal success of a specialized tropical tree depends on complex interactions among diverse mammalian frugivores","Bear sp","Carnivore","Thailand","Tropical & Subtropical Dry Broadleaf Forests","Southeast Indochina dry evergreen forests","Indomalayan",70.3793262875,10.3247537093,c(101.53044167, 14.31092222)
"Brockelman et al 2022",2022,"Dispersal success of a specialized tropical tree depends on complex interactions among diverse mammalian frugivores","Elephant","Herbivore","Thailand","Tropical & Subtropical Dry Broadleaf Forests","Southeast Indochina dry evergreen forests","Indomalayan",70.3793262875,10.3247537093,c(101.53044167, 14.31092222)
"Brockelman et al 2022",2022,"Dispersal success of a specialized tropical tree depends on complex interactions among diverse mammalian frugivores","Indian barking deer","Herbivore","Thailand","Tropical & Subtropical Dry Broadleaf Forests","Southeast Indochina dry evergreen forests","Indomalayan",70.3793262875,10.3247537093,c(101.53044167, 14.31092222)
"Brockelman et al 2022",2022,"Dispersal success of a specialized tropical tree depends on complex interactions among diverse mammalian frugivores","Sambar","Herbivore","Thailand","Tropical & Subtropical Dry Broadleaf Forests","Southeast Indochina dry evergreen forests","Indomalayan",70.3793262875,10.3247537093,c(101.53044167, 14.31092222)
"Brockelman et al 2022",2022,"Dispersal success of a specialized tropical tree depends on complex interactions among diverse mammalian frugivores","Wild pig","Herbivore","Thailand","Tropical & Subtropical Dry Broadleaf Forests","Southeast Indochina dry evergreen forests","Indomalayan",70.3793262875,10.3247537093,c(101.53044167, 14.31092222)
"Brodie & Brockelman 2009",2009,"Bed site selection of red muntjac (Muntiacus muntjak) and sambar (Rusa unicolor) in a tropical seasonal forest","Indian barking deer","Herbivore","Thailand","Tropical & Subtropical Dry Broadleaf Forests","Southeast Indochina dry evergreen forests","Indomalayan",70.3793262875,10.3247537093,c(101.53044167, 14.31092222)
"Brodie & Brockelman 2009",2009,"Bed site selection of red muntjac (Muntiacus muntjak) and sambar (Rusa unicolor) in a tropical seasonal forest","Sambar","Herbivore","Thailand","Tropical & Subtropical Dry Broadleaf Forests","Southeast Indochina dry evergreen forests","Indomalayan",70.3793262875,10.3247537093,c(101.53044167, 14.31092222)
"Brodie et al 2009",2009,"Bushmeat poaching reduces the seed dispersal and population growth rate of a mammal-dispersed tree","Indian barking deer","Herbivore","Thailand","Tropical & Subtropical Moist Broadleaf Forests","Kayah-Karen montane rain forests","Indomalayan",30.9776479648,10.1854747348,c(98.48706111, 18.58804444)
"Brodie et al 2009",2009,"Bushmeat poaching reduces the seed dispersal and population growth rate of a mammal-dispersed tree","Sambar","Herbivore","Thailand","Tropical & Subtropical Moist Broadleaf Forests","Kayah-Karen montane rain forests","Indomalayan",30.9776479648,10.1854747348,c(98.48706111, 18.58804444)
