author_of_the_papers,year_of_publishing,paper_heading,study_duration_months,mammal_species,mammal_group,country,latitude ,longitude
Anoop et al 2021,2021,"Native mammals disperse the highly invasive Senna spectabilis in the Western Ghats, India",4,Spotted deer,Herbivore,India,11.70385278 N,76.40250278 E
Anto et al 2018,2018,"Fruit predation and adaptive strategies of Garcinia imberti, an endangered species of southern Western Ghats.",24,Nilgiri langur,Primate,India,8.69111111 N,77.18466667 E
Arandhara et al 2021,2021,"Influence of invasive Prosopis juliflora on the distribution and ecology of native blackbuck in protected areas of Tamil Nadu, India",NA,Blackbuck,Herbivore,India,13.00370278 N,80.22934167 E
Aroon 2008,2008,"DIET AND HABITAT USE OF VIVERRID GROUP AT SAKAERAT ENVIRONMENTAL RESEARCH STATION, NAKHON RATCHASIMA",12,Civet sp,Carnivore,Thailand,14.97348611 N,102.08358889 E
Aroon et al 2012,2012,"Seasonal variation in the diet of common palm civet at Sakaerat Biosphere Reserve, Thailand",12,Common palm civet,Carnivore,Thailand,14.50002778 N,101.91669444 E
Asif et al 2018,2018,"Seasonal Variation in the Diet of Himalayan Grey Langur (Semnopithecus ajax) in Machiara National Park, Azad Jammu and Kashmir, Pakistan",10,Himalayan gray langur,Primate,Pakistan,34.56083056 N ,73.61113333 E
Au et al 2006,2006,"Seed rain into upland plant communities in Hong Kong, China",24,Civet sp,Carnivore,China,22.40876111 N,114.13824722 E
Aziz & Feroz 2009,2009,Utilization of forest flora by Phayre’s Leaf-MonkeyTrachypithecus phayrei (Primates: Cercopithecidae) insemi-evergreen forests of Bangladesh,24,Phayrei's leaf monkey,Primate,Bangladesh,24.32508611 N,91.78716667 E
Bach  et al 2017,2017,Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest,12,Yellow-cheeked gibbon,Carnivore,Vietnam,11.42391944 N,107.43204722 E
Balasubramanium_&_Bole_1992,1992,"Seed dispersal by mammals at Point calimere wildlfe sanctuary, Tamil Nadu",24,Blackbuck,Herbivore,India,10.28644167 N ,79.82991389 E
Balasubramanium_&_Bole_1992,1992,"Seed dispersal by mammals at Point calimere wildlfe sanctuary, Tamil Nadu",24,Bonnet macaque,Primate,India,10.28644167 N ,79.82991389 E
Balasubramanium_&_Bole_1992,1992,"Seed dispersal by mammals at Point calimere wildlfe sanctuary, Tamil Nadu",24,Cattle,Herbivore,India,10.28644167 N ,79.82991389 E
Balasubramanium_&_Bole_1992,1992,"Seed dispersal by mammals at Point calimere wildlfe sanctuary, Tamil Nadu",24,Golden Jackal,Carnivore,India,10.28644167 N ,79.82991389 E
Balasubramanium_&_Bole_1992,1992,"Seed dispersal by mammals at Point calimere wildlfe sanctuary, Tamil Nadu",24,Indian grey mongoose,Carnivore,India,10.28644167 N ,79.82991389 E
Balasubramanium_&_Bole_1992,1992,"Seed dispersal by mammals at Point calimere wildlfe sanctuary, Tamil Nadu",24,Small indian civet,Carnivore,India,10.28644167 N ,79.82991389 E
Balasubramanium_&_Bole_1992,1992,"Seed dispersal by mammals at Point calimere wildlfe sanctuary, Tamil Nadu",24,Spotted deer,Herbivore,India,10.28644167 N ,79.82991389 E
Balasubramanium_&_Bole_1992,1992,"Seed dispersal by mammals at Point calimere wildlfe sanctuary, Tamil Nadu",24,Wild pig,Herbivore,India,10.28644167 N ,79.82991389 E
Bargali et al 2004,2004,Feeding ecology of sloth bears in a disturbed area in central India,30,Sloth bear,Carnivore,India,23.00638333 N,82.05420556 E
Bartels 1964,1964,"On Paradoxurus hermaphroditus javanicus (Horsfield, 1824). The Common Palm Civet or Tody Cat in western Java. Notes on its food and feeding habits. Its ecological importance for wood and rural biotopes",384,Common palm civet,Carnivore,Indonesia,6.91428333 S,107.61874444 E
Barua & Gogoi 2012,2012,"Observation on feeding & Lodging behaviour of Hoolock hoolock (Western Hoolock Gibbon) in Gibbon Wildlife Sanctuary, Assam.",36,Western hoolock gibbon,Primate,India,26.666025 N,94.35989444 E
Baskaran & Desai 2013,2013,"Frugivory and seed dispersal by the Asian Elephant Elephas maximus in the tropical forests of Nilgiri Biosphere Reserve, southern India",NA,Elephant,Herbivore,India,11.66589444 N,76.62979167 E
Baskaran et al 2011,2011,"Behavioural ecology of four-horned antelope (Tetracerus quadricornis de Blainville, 1816) in the tropical forests of southern India",2,Four-horned antelope,Herbivore,India,11.56229167 N,76.53455 E
Baskaran et al 2015,2015,"On the Behavioural Ecology of Sloth Bear (Melursus ursinus Shaw 1791) in Mudumalai Wildlife Sanctuary, Western Ghats, India",16,Sloth bear,Carnivore,India,11.56229167 N,76.53455 E
Baskaran et al 2020,2020,"Golden Jackal Canis aureus Linnaeus, 1758 (Mammalia: Carnivora: Canidae) distribution pattern and feeding at Point Calimere Wildlife Sanctuary, India",5,Golden Jackal,Carnivore,India,10.28644167 N ,79.82991389 E
Bauri & Saikia 2014,2014,"Preliminary study on thc food plant spccics of Endangcrcd Asiatic Wild Watcr Buffalo Bubalus arnee Kerr. in Kaziranga National Park, Assam India",24,Wild water buffalo,Herbivore,India,26.64564444 N,93.59292778 E
Bhatt 2010,2010,"ROLE OF ASIAN ELEPHANT (Elephus maximus) IN DISPERSING Mallotus phillipinensis IN BARDIA NATIONAL PARK, NEPAL",8,Elephant,Herbivore,Nepal,28.36486389 N,81.55964167 E
