author_of_the_papers,year_of_publishing,paper_heading,study_duration_months,mammal_species,mammal_group,country,latitude ,longitude
Hisano et al 2017,2017,A Comparison of Visual and Genetic Techniques for Identifying Japanese Marten Scats - Enabling Diet Examination in Relation to Seasonal Food Availability in a Sub-alpine Area of Japan,5,Japanese marten,Carnivore,Japan,36.15254444 N,138.32483611 E
Hodgkinson et al 2003,2003,Fruit Bats (Chiroptera: Pteropodidae) as Seed Dispersers and Pollinators in a Lowland Malaysian Rain Forest‚Äô,30,Civet sp,Carnivore,Malayesia,3.51208611 N,102.13476667 E
Home & Jhala 2009,2009,"Food habits of the Indian fox (Vulpes bengalensis) in Kutch, Gujarat, India",5,Indian Fox,Carnivore,India,23.26086667 N,68.82708889 E
Home 2005,2005,"RESOURCE UTILIZATION BY INDIAN FOX (Vulpes bengalensis) IN KUTCH, GUJARAT.",12,Indian Fox,Carnivore,India,23.26086667 N,68.82708889 E
Huang et al 2015,2015,Dietary Adaptations of Assamese Macaques (Macaca assamensis) in Limestone Forests in Southwest China,12,Assamese macaque,Primate,China,22.4679 N,106.96083611 E
Huang et al 2017,2017,Effect of habitat fragmentation on ranging behavior of white-headed langurs in limestone forests in Southwest China,24,White-headed langur,Primate,China,22.37895 N,107.36485 E
Huygens & Hayashi 2001,2001,USE OF STONE PINE SEEDS AND OAK ACORNS BY ASIATIC BLACK BEARS IN CENTRAL JAPAN,26,Asiatic black bear,Carnivore,Japan,36.648525 N,138.19503611 E
Huygens et al 2003,2003,Diet and Feeding Habits of Asiatic Black Bears in the Northern Japanese Alps,50,Asiatic black bear,Carnivore,Japan,36.15439444 N,137.92181944 E
Hwang et al 2002,2002,"DIETS OF ASIATIC BLACK BEARS IN TAIWAN, WITH METHODOLOGICAL AND GEOGRAPHICAL COMPARISONS",29,Asiatic black bear,Carnivore,China,23.44438889 N,121.03351111 E
Ickes & thomas 2003,2003,"Native, Wild Pigs (Sus serofa) at Pasoh and Their Impacts on the Plant Community",NA,Wild pig,Herbivore,Malayesia,3.01450278 N,102.29483056 E
Islam & Feeroz 1992,1992,Ecology of Hoolock Gibbon of Bangladesh,12,Western hoolock gibbon,Primate,Bangladesh,21.9027 N,92.13520278 E
Jadeja et al 2013,2013,Antelope mating strategies facilitate invasion of grasslands by a woody weed,13,Blackbuck,Herbivore,India,22.04394444 N,72.02046111 E
Jaman & Huffman 2013,2013,The effect of urban and rural habitats and resource type on activity budgets of commensal rhesus macaques (Macaca mulatta) in Bangladesh,17,Rhesus macaque,Primate,Bangladesh,23.80409167 N,90.41523889 E
Jayasekara et al 2007,2007,IDENTIFYING DIURNAL AND NOCTURNAL FRUGIVORES IN THE TERRESTRIAL AND ARBOREAL LAYERS OF A TROPICAL RAIN FOREST IN SRI LANKA,7,Brown mongoose,Carnivore,Sri Lanka,6.43603611 N,80.41958889 E
Jayasekara et al 2007,2007,IDENTIFYING DIURNAL AND NOCTURNAL FRUGIVORES IN THE TERRESTRIAL AND ARBOREAL LAYERS OF A TROPICAL RAIN FOREST IN SRI LANKA,7,Golden palm civet,Carnivore,Sri Lanka,6.43603611 N,80.41958889 E
Jayasekara et al 2007,2007,IDENTIFYING DIURNAL AND NOCTURNAL FRUGIVORES IN THE TERRESTRIAL AND ARBOREAL LAYERS OF A TROPICAL RAIN FOREST IN SRI LANKA,7,Indian spotted chevrotain,Herbivore,Sri Lanka,6.43603611 N,80.41958889 E
Jayasekara et al 2007,2007,IDENTIFYING DIURNAL AND NOCTURNAL FRUGIVORES IN THE TERRESTRIAL AND ARBOREAL LAYERS OF A TROPICAL RAIN FOREST IN SRI LANKA,7,Slender loris,Primate,Sri Lanka,6.43603611 N,80.41958889 E
Jayasekara et al 2007,2007,IDENTIFYING DIURNAL AND NOCTURNAL FRUGIVORES IN THE TERRESTRIAL AND ARBOREAL LAYERS OF A TROPICAL RAIN FOREST IN SRI LANKA,7,Small indian civet,Carnivore,Sri Lanka,6.43603611 N,80.41958889 E
Jhala & Isvaran 2016,2016,"Behavioural Ecology of a Grassland Antelope, the Blackbuck Antilope cervicapra: Linking Habitat, Ecology and Behaviour",NA,Blackbuck,Herbivore,India,NA,NA
Jhala 1997,1997,Seasonal effects on the nutritional ecology of blackbuck Antelope cervicapr,NA,Blackbuck,Herbivore,India,22.04394444 N,72.02046111 E
Jones 2009,2009,Survey of the Four-horned Antelope in South India,9,Four-horned antelope,Herbivore,India,13.217175 N,79.10032778 E
Joshi et al 1997,1997,SEASONAL AND HABITAT-RELATED DIETS OF SLOTH BEARS IN NEPAL,24,Sloth bear,Carnivore,Nepal,27.51928611 N,84.31353056 E
Joshi et al 2006,2006,Production of supernumerary plants from seed fragments in Garcinia gummi-gutta: evolutionary implications of mammalian frugivory,NA,Bonnet macaque,Primate,India,12.30493333 N,77.59456389 E
Joshi et al 2006,2006,Production of supernumerary plants from seed fragments in Garcinia gummi-gutta: evolutionary implications of mammalian frugivory,NA,Brown palm civet,Carnivore,India,12.30493333 N,77.59456389 E
Joshi et al 2006,2006,Production of supernumerary plants from seed fragments in Garcinia gummi-gutta: evolutionary implications of mammalian frugivory,NA,Common palm civet,Carnivore,India,12.30493333 N,77.59456389 E
Joshi et al 2006,2006,Production of supernumerary plants from seed fragments in Garcinia gummi-gutta: evolutionary implications of mammalian frugivory,NA,Hanuman langur,Primate,India,12.30493333 N,77.59456389 E
Jothish 2013,2013,Frugivory and seed dispersal of woody species by the Asian elephant (Elephas maximus) in a mid-elevation tropical evergreen forest in India,22,Elephant,Herbivore,India,11.06942222 N,76.42800278 E
Justa et al 2019,2019,"Sharing from the Same Bowl: Resource Partitioning between Sympatric Macaque Species in the Western Himalaya, India",5,Assamese macaque,Primate,India,29.76581944 N,80.33662778 E
Justa et al 2019,2019,"Sharing from the Same Bowl: Resource Partitioning between Sympatric Macaque Species in the Western Himalaya, India",5,Rhesus macaque,Primate,India,29.76581944 N,80.33662778 E
K.A. Sayers 2008,2008,OPTIMAL FORAGING ON THE ROOF OF THE WORLD: A FIELD STUDY OF HIMALAYAN LANGURS,10,Nepal grey langur,Primate,Nepal,28.02887778 N,85.51471667 E
Kakati 2004,2004,"IMPACT OF FOREST FRAGMENTATION ON THE HOOLOCK GIBBON IN ASSAM, INDIA",24,Western hoolock gibbon,Primate,India,27.48855278 N,95.35575833 E
Kalle et al 2012,2012,"Diet of Mongoose in Mudumalai Tiger reserve , Southern India",24,Mongoose sp,Carnivore,India,11.56227778 N,76.53452222 E
Kanamori et al 2010,2010,"Feeding Ecology of Bornean Orangutans (Pongo pygmaeus morio) in Danum Valley, Sabah, Malaysia: A 3-Year Record Including Two Mast Fruitings",27,Bornean orangutan,Primate,Malayesia,5.02138889 N,117.74722222 E
Karimi et al 2018,2018,"Complementary endozoochorous seed dispersal by large mammals in the Golestan National Park, Iran",15,Wild pig,Herbivore,Iran,37.54753889 N,56.38242222 E
Karthik et al 2009,2009,"Dispersal of Prosopis juliflora seeds in the feces of wildlife in the banni grassland of Kachchh Desert, Gujarat.",NA,Golden Jackal,Carnivore,India,23.70772222 N,69.50228889 E
Karthik et al 2009,2009,"Dispersal of Prosopis juliflora seeds in the feces of wildlife in the banni grassland of Kachchh Desert, Gujarat.",NA,Wild pig,Herbivore,India,23.70772222 N,69.50228889 E
Kavana et al 2015,2015,Folivory as a Constraint on Social Behaviour of Langurs in South India,5,Hanuman langur,Primate,India,10.49529444 N,76.71050833 E
Kavana et al 2015,2015,Folivory as a Constraint on Social Behaviour of Langurs in South India,5,Nilgiri langur,Primate,India,10.49529444 N,76.71050833 E
Khadka & Lamichaane 2020,2020,"Evidence of bhellar (Trewia nudiflora) seed dispersal by chital (Axis axis) in Chitwan National Park, Nepal",8,Spotted deer,Herbivore,Nepal,27.51928611 N,84.31353056 E
Khan 2004,2004,"Effects of seed mass on seedling success in Artocarpus heterophyllus L., a tropical tree species of north-east India",NA,Wild pig,Herbivore,India,27.23570278 N,94.10693333 E
Khan et al 1996,1996,"Ungulate densities and biomass in the tropical dry deciduous forests of Gir, Gujarat, India ",NA,Spotted deer,Herbivore,India,21.08431389 N,70.79444167 E
Khan et al 2005,2005, Effects of forest disturbance on fruit s seed dispersal and prÈdation of Rudra (Elaeocarpus ganitrus Roxb.) in northeast India,36,Capped langur,Primate,India,27.21206389 N,95.49464444 E
Khan et al 2005,2005, Effects of forest disturbance on fruit s seed dispersal and prÈdation of Rudra (Elaeocarpus ganitrus Roxb.) in northeast India,36,Domestic buffalo,Herbivore,India,27.21206389 N,95.49464444 E
Khan et al 2005,2005, Effects of forest disturbance on fruit s seed dispersal and prÈdation of Rudra (Elaeocarpus ganitrus Roxb.) in northeast India,36,Elephant,Herbivore,India,27.21206389 N,95.49464444 E
Khan et al 2005,2005, Effects of forest disturbance on fruit s seed dispersal and prÈdation of Rudra (Elaeocarpus ganitrus Roxb.) in northeast India,36,Gaur,Herbivore,India,27.21206389 N,95.49464444 E
Khan et al 2005,2005, Effects of forest disturbance on fruit s seed dispersal and prÈdation of Rudra (Elaeocarpus ganitrus Roxb.) in northeast India,36,Hanuman langur,Primate,India,27.21206389 N,95.49464444 E
Khan et al 2005,2005, Effects of forest disturbance on fruit s seed dispersal and prÈdation of Rudra (Elaeocarpus ganitrus Roxb.) in northeast India,36,Indian barking deer,Herbivore,India,27.21206389 N,95.49464444 E
Khan et al 2005,2005, Effects of forest disturbance on fruit s seed dispersal and prÈdation of Rudra (Elaeocarpus ganitrus Roxb.) in northeast India,36,Sambar,Herbivore,India,27.21206389 N,95.49464444 E
Khan et al 2005,2005, Effects of forest disturbance on fruit s seed dispersal and prÈdation of Rudra (Elaeocarpus ganitrus Roxb.) in northeast India,36,Spotted deer,Herbivore,India,27.21206389 N,95.49464444 E
Khan et al 2005,2005, Effects of forest disturbance on fruit s seed dispersal and prÈdation of Rudra (Elaeocarpus ganitrus Roxb.) in northeast India,36,Wild pig,Herbivore,India,27.21206389 N,95.49464444 E
Khan et al 2017,2017,"Winter food habfits off the Golden Jackal Canfis aureus (Mammalia: Carnivora: Canidae) in Patna Bird Sanctuary, Uttar Pradesh, India",5,Golden Jackal,Carnivore,India,27.52764444 N,78.31682222 E
Khan et al 2019,2019,"Winter food habits of the Common Palm Civet Paradoxurus hermaphroditus (Mammalia: Carnivora: Viverridae) in Patna Bird Sanctuary, India",3,Common palm civet,Carnivore,India,27.52764444 N,78.31682222 E
Khanal & Thapa 2014,2014,"Feeding Ecology of Sloth Bears in Chitwan National Park, Nepal",3,Sloth bear,Carnivore,Nepal,27.51928611 N,84.31353056 E
Khatiwada et al 2020,2020,"Comparative ecological and behavioral study of Macaca assamensis and M. mulatta in Shivapuri Nagarjun National Park, Nepal",12,Assamese macaque,Primate,Nepal,27.81292222 N,85.38593333 E
Khatiwada et al 2020,2020,"Comparative ecological and behavioral study of Macaca assamensis and M. mulatta in Shivapuri Nagarjun National Park, Nepal",12,Rhesus macaque,Primate,Nepal,27.81292222 N,85.38593333 E
Khatun et al 2011,2011,Feeding Behaviour and Ecology of the Common Langurs (Semnopithecus entellus) of Keshabpur in Bangladesh,12,Hanuman langur,Primate,Bangladesh,22.90546389 N,89.21938056 E
Kitamura & Poonswad 2013,2013,Nutmeg-vertebrate interactions in the Asia-Pacificn region: importance of frugivores for seed dispersal in Myristicaceae,NA,Bear sp,Carnivore,Sout asia-pacific,NA,NA
Kitamura & Poonswad 2013,2013,Nutmeg-vertebrate interactions in the Asia-Pacificn region: importance of frugivores for seed dispersal in Myristicaceae,NA,Civet sp,Carnivore,Sout asia-pacific,NA,NA
Kitamura & Poonswad 2013,2013,Nutmeg-vertebrate interactions in the Asia-Pacificn region: importance of frugivores for seed dispersal in Myristicaceae,NA,Deer sp,Herbivore,Sout asia-pacific,NA,NA
Kitamura & Poonswad 2013,2013,Nutmeg-vertebrate interactions in the Asia-Pacificn region: importance of frugivores for seed dispersal in Myristicaceae,NA,Wild pig,Herbivore,Sout asia-pacific,NA,NA
Kitamura et al 2002,2002,Interactions between fleshy fruits and frugivores in a tropical seasonal forest in Thailand,46,Bear sp,Carnivore,Thailand,18.58804444 N,98.48706111 E
Kitamura et al 2002,2002,Interactions between fleshy fruits and frugivores in a tropical seasonal forest in Thailand,46,Civet sp,Carnivore,Thailand,18.58804444 N,98.48706111 E
Kitamura et al 2002,2002,Interactions between fleshy fruits and frugivores in a tropical seasonal forest in Thailand,46,Deer sp,Herbivore,Thailand,18.58804444 N,98.48706111 E
Kitamura et al 2002,2002,Interactions between fleshy fruits and frugivores in a tropical seasonal forest in Thailand,46,Elephant,Herbivore,Thailand,18.58804444 N,98.48706111 E
Kitamura et al 2005,2005,Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand,14,Binturong,Carnivore,Thailand,14.31092222 N,101.53044167 E
Kitamura et al 2006 a,2006,"Frugivory and seed dispersal by Asian elephants, Elephas maximus, in a moist evergreen forest of Thailand",32,Elephant,Herbivore,Thailand,18.58804444 N,98.48706111 E
Kitamura et al 2006 b,2006,"Dispersal of Canarium euphyllum (Burseraceae), a large-seeded tree species, in a moist evergreen forest in Thailand",5,Indian barking deer,Herbivore,Thailand,18.58804444 N,98.48706111 E
Kitamura et al 2006 b,2006,"Dispersal of Canarium euphyllum (Burseraceae), a large-seeded tree species, in a moist evergreen forest in Thailand",5,Javan Mousedeer,Herbivore,Thailand,18.58804444 N,98.48706111 E
Koboyashi et al 2022,2022,Effects of different pollinators and herbivores on the fruit set height of the mammal-pollinated treeclimbing vine Mucuna macrocarpa,4,Sika deer,Herbivore,Japan,26.33435278 N,127.80560556 E
Koike 2009 a,2009,Fruiting Phenology and its Effect on Fruit Feeding Behavior of Asiatic Black Bears,18,Asiatic black bear,Carnivore,Japan,35.55296111 N,138.75205278 E
Koike 2009 b,2009,Long-term trends in food habits of Asiatic black bears in the Misaka Mountains on the Pacific coast of central Japan,72,Asiatic black bear,Carnivore,Japan,35.55296111 N,138.75205278 E
Koike et al 2007,2007,Fruit phenology of Prunus jamasakura and the feeding habit of the Asiatic black bear as a seed disperser,3,Asiatic black bear,Carnivore,Japan,35.56316389 N,138.51096111 E
Koike et al 2008,2008,Frugivory of carnivores and seed dispersal of fleshy fruits in cool-temperate deciduous forests,24,Asiatic black bear,Carnivore,Japan,35.80950278 N,139.09605833 E
Koike et al 2008,2008,Frugivory of carnivores and seed dispersal of fleshy fruits in cool-temperate deciduous forests,24,European Badger,Carnivore,Japan,35.80950278 N,139.09605833 E
Koike et al 2008,2008,Frugivory of carnivores and seed dispersal of fleshy fruits in cool-temperate deciduous forests,24,Japanese marten,Carnivore,Japan,35.80950278 N,139.09605833 E
Koike et al 2008,2008,Frugivory of carnivores and seed dispersal of fleshy fruits in cool-temperate deciduous forests,24,Raccoon dog,Carnivore,Japan,35.80950278 N,139.09605833 E
Koike et al 2008,2008,Frugivory of carnivores and seed dispersal of fleshy fruits in cool-temperate deciduous forests,24,Red fox,Carnivore,Japan,35.80950278 N,139.09605833 E
Koike et al 2010,2010,Estimate of the seed shadow created by the Asiatic black bear Ursus thibetanus and its characteristics as a seed disperser in Japanese cool-temperate forest,28,Asiatic black bear,Carnivore,Japan,36.64615278 N,139.04416944 E
Koike et al 2012,2012,The role of dung beetles as a secondary seed disperser after dispersal by frugivore mammals in a temperate deciduous forest,24,Asiatic black bear,Carnivore,Japan,35.80950278 N,139.09605833 E
Koirala & Chalise 2014,2014,"Feeding Ecology of Assamese Macaque (Macaca assamensis) in Nagarjun Forest of Shivapuri Nagarjun National Park, Nepal",16,Assamese macaque,Primate,Nepal,27.81292222 N,85.38593333 E
Koirala et al 2016,2016,Feeding preferences of the Asian elephant (Elephas maximus) in Nepal,7,Elephant,Herbivore,Nepal,27.47601111 N,84.79420833 E
Koirala et al 2017,2017,"Diet and Activity of Macaca assamensis in Wild and Semi-Provisioned Groups in Shivapuri Nagarjun National Park, Nepal",12,Assamese macaque,Primate,Nepal,27.81292222 N,85.38593333 E
Kool 1993,1993,The diet and feeding behavior of the silver leaf monkey (Trachypithecus auratus sondaicus) in Indonesia,15,East javan langur,Primate,Indonesia,7.69253611 S,108.65796111 E
Krishna et al 2015,2015,"INVESTIGATING THE FORAGING PATTERNS AND DISTRIBUTION OF NOCTURNAL FRUGIVORES WITH SPECIAL FOCUS ON CONSERVATION THREATS IN NAMDAPHA NATIONAL PARK, ARUNACHAL PRADESH, INDIA",12,Binturong,Carnivore,India,27.44547222 N,96.53580833 E
Krishna et al 2015,2015,"INVESTIGATING THE FORAGING PATTERNS AND DISTRIBUTION OF NOCTURNAL FRUGIVORES WITH SPECIAL FOCUS ON CONSERVATION THREATS IN NAMDAPHA NATIONAL PARK, ARUNACHAL PRADESH, INDIA",12,Common palm civet,Carnivore,India,27.44547222 N,96.53580833 E
Krishna et al 2015,2015,"INVESTIGATING THE FORAGING PATTERNS AND DISTRIBUTION OF NOCTURNAL FRUGIVORES WITH SPECIAL FOCUS ON CONSERVATION THREATS IN NAMDAPHA NATIONAL PARK, ARUNACHAL PRADESH, INDIA",12,Large indian civet,Carnivore,India,27.44547222 N,96.53580833 E
Krishna et al 2015,2015,"INVESTIGATING THE FORAGING PATTERNS AND DISTRIBUTION OF NOCTURNAL FRUGIVORES WITH SPECIAL FOCUS ON CONSERVATION THREATS IN NAMDAPHA NATIONAL PARK, ARUNACHAL PRADESH, INDIA",12,Masked palm civet,Carnivore,India,27.44547222 N,96.53580833 E
Krishna et al 2015,2015,"INVESTIGATING THE FORAGING PATTERNS AND DISTRIBUTION OF NOCTURNAL FRUGIVORES WITH SPECIAL FOCUS ON CONSERVATION THREATS IN NAMDAPHA NATIONAL PARK, ARUNACHAL PRADESH, INDIA",12,Slow loris,Primate,India,27.44547222 N,96.53580833 E
Krishna et al 2015,2015,"INVESTIGATING THE FORAGING PATTERNS AND DISTRIBUTION OF NOCTURNAL FRUGIVORES WITH SPECIAL FOCUS ON CONSERVATION THREATS IN NAMDAPHA NATIONAL PARK, ARUNACHAL PRADESH, INDIA",12,Small indian civet,Carnivore,India,27.44547222 N,96.53580833 E
Krishnadas et al 2011,2011,The response of the frugivorous lion‚Äêtailed macaque (Macaca silenus) to a period of fruit scarcity,5,Lion-tailed macaque,Primate,India,11.06942222 N,76.42800278 E
Krishnamani 1994,1994,DIET COMPOSITION OF THE BONNET MACAQUE (Macaca radiata) IN A TROPICAL DRY EVERGREEN FOREST OF SOUTHERN INDIA,2,Bonnet macaque,Primate,India,12.18994167 N,79.92486667 E
Krishnan & Borges 2018,2018,A fig tree in a concrete jungle: fine-scale population genetic structure of the cluster fig Ficus racemosa in an urban environment,NA,Bonnet macaque,Primate,India,12.30493333 N,77.59456389 E
Kulavmode et al 2015,2015,"A note on seed dispersal of Rock Banana Ensete superbum by Asian Palm Civet Paradoxurus hermaphroditus at Sinhgad fort, Maharashtra, India",,Common palm civet,Carnivore,India,18.36627778 N,73.75587778 E
Kumar & Kumar 2023,2023,"Food plants of Wild Gaur (Bos gaurus Smith, 1827)",NA,Gaur,Herbivore,India,21.59311389 N,86.29453889 E
Kumar & Solanki 2003,2003,"Food preference of rhesus monkey Macaca mulatta during the pre-monsoon and monsoon season, Pakhui Wildlife Sanctuary, Arunachal Pradesh",5,Rhesus macaque,Primate,India,26.95354167 N,92.98934722 E
Kumar & Solanki 2008,2008,"Population Status and Conservation of Capped Langurs (Trachypithecus pileatus) in and Around Pakke Wildlife Sanctuary, Arunachal Pradesh, India",36,Capped langur,Primate,India,26.95354167 N,92.98934722 E
Kumar et al 2011,2011,"Distribution, Ecology and Conservation of the Gaur (Bos gaurus, H. Smith, 1824)",NA,Gaur,Herbivore,India,NA,NA
Kumar et al 2015,2015,"Seed bank estimation and regeneration studies of Calophyllum apetalum Willd., from Western Ghats of Karnataka",NA,Indian barking deer,Herbivore,India,13.50266389 N,75.09031667 E
Kumar et al 2015,2015,"Seed bank estimation and regeneration studies of Calophyllum apetalum Willd., from Western Ghats of Karnataka",NA,Sambar,Herbivore,India,13.50266389 N,75.09031667 E
Kumar et al 2015,2015,"Seed bank estimation and regeneration studies of Calophyllum apetalum Willd., from Western Ghats of Karnataka",NA,Spotted deer,Herbivore,India,13.50266389 N,75.09031667 E
Kumara & Santosh 2013,2013,"Development of conservation strategy for a newly discovered lion-tailed macaque Macaca silenus population in Sirsi-Honnavara, Western Ghats: II. Understanding the impact of NTFP collection on lion-tailed macaque",20,Lion-tailed macaque,Primate,India,14.42754722 N,74.41909167 E
Kurihara & Hanya 2015,2015,Comparison of Feeding Behavior between Two Different-Sized Groups of Japanese Macaques (Macaca fuscata yakui),6,Japanese macaque,Primate,Japan,30.34459444 N,130.51271389 E
Kusum 2018,2018,"STUDIES ON, THE RANGING PATTERN AND DUNG PILES HABIT OF NILGAI (BOSELAPHUS TRAGOCAMELUS) AROUND JODHPUR, RAJASTHAN, INDIA",12,Nilgai,Herbivore,India,26.23894722 N,73.02430833 E
Lambart 1990,1990,Some Notes on Fig-eating by Arboreal Mammals in Malaysia,31,Binturong,Carnivore,Malayesia,4.38513056 N,102.40042222 E
Lambart 1990,1990,Some Notes on Fig-eating by Arboreal Mammals in Malaysia,31,Masked palm civet,Carnivore,Malayesia,4.38513056 N,102.40042222 E
"Laurie and Seidensticker, 1977",1977,Behavioural ecology of the Sloth bear (Mehvsus uvsinus),36,Sloth bear,Carnivore,Nepal,27.51928611 N,84.31353056 E
Lee et al 2022,2022,"Endozoochorous seed dispersal by Korean water deer (Hydropotes inermis argyropus) in Taehwa Research Forest, South Korea",12,Korean water buffalo,Herbivore,Korea,37.46482778 N,126.9572 E
Leena 2009,2009,A case study of Prosopis juliflora in Ajmer,NA,Nilgai,Herbivore,India,26.44989444 N,74.63991667 E
Leslie 2008,2008,MAMMALIAN SPECIES Boselaphus tragocamelus (Artiodactyla: Bovidae),NA,Nilgai,Herbivore,NA,NA,NA
Lin et al 2002,2002,"SEED DISPERSAL, SEED PREDATION, AND SEEDLING SPATIAL PATTERN OF GARCINIA COWA (GUTTIFERAE)",12,Sambar,Herbivore,China,21.48754167 N,101.57051389 E
Liu et al 2013,2013,"Foods Eaten by the Sichuan Snub-Nosed Monkey (Rhinopithecus roxellana) in Shennongjia National Nature Reserve, China, in Relation to Nutritional Chemistry",20,Golden snub nosed monakey,Primate,China,31.46775 N,110.39378056 E
Ma et al 2017a,2017,"Diet and feeding behavior of a group of 42 Phayre's langurs in a seasonal habitat in Mt. Gaoligong, Yunnan, China",12,Phayrei's leaf monkey,Primate,China,24.59823889 N,103.96829722 E
Ma et al 2017b,2017,"Food selection in relation to nutritional chemistry of Cao Vit gibbons in Jingxi, China",29,Eastern Black-crested Gibbon,Primate,China,22.91863333 N,106.75938056 E
Mahesha & Rajnish 2019,2019,"Some aspects of seed dispersal by Asian elephants (Elephas maximus) in Kaudulla National Park, Sri Lanka",3,Elephant,Herbivore,Sri Lanka,8.11071944 N,80.88585556 E
Maheshnaik et al 2022,2022,"diversity of Sathyamangalam tiger reserve, Tamil Nadu, India",9,Blackbuck,Herbivore,India,11.62286944 N,77.12909444 E
Maheshnaik et al 2022,2022,"diversity of Sathyamangalam tiger reserve, Tamil Nadu, India",9,Spotted deer,Herbivore,India,11.62286944 N,77.12909444 E
Mahmood et al 2013,2002,"DIET COMPOSITION OF ASIATIC JACKAL (Canis aureus IN MARGALLAH HILLS NATIONAL PARK, ISLAMABAD, PAKISTAN",12,Golden Jackal,Carnivore,Pakistan,33.74805833 N,73.00510556 E
Marod et al 2010,2010,"The Role of Wild Banana (Musa acuminata Colla) on Wildlife Diversity in Mixed Deciduous Forest, Kanchanaburi Province, Western Thailand",12,Common palm civet,Carnivore,Thailand,14.02261111 N,99.53235833 E
Mathur 1991,1991,"THE ECOLOGICAL INTERACTION BETWEEN HABITAT COMPOSITION, HABITAT QUALITY AND ABUNDANCE OF SOME WILD UNGULATES IN INDI",NA,Spotted deer,Herbivore,India,20.27178889 N,79.38756944 E
Maurya et al 2012,2012,ESTIMATING FOOD INTAKE FROM SCATS IN THE OMNIVOROUS INDIAN FOX VULPES BENGALENSIS,,Indian fox,Carnivore,India,23.26084444 N,68.82731389 E
McConkey & Brockelman 2011,2011,Nonredundancy in the dispersal network of a generalist tropical forest tree,2,Bear sp,Carnivore,Thailand,14.31092222 N,101.53044167 E
McConkey & Brockelman 2011,2011,Nonredundancy in the dispersal network of a generalist tropical forest tree,2,Indian barking deer,Herbivore,Thailand,14.31092222 N,101.53044167 E
McConkey & Brockelman 2011,2011,Nonredundancy in the dispersal network of a generalist tropical forest tree,2,Sambar,Herbivore,Thailand,14.31092222 N,101.53044167 E
McConkey et al 2018,2018,Different megafauna vary in their seed dispersal effectiveness of the megafaunal fruit Platymitra macrocarpa (Annonaceae),24,Bear sp,Carnivore,Thailand,14.31092222 N,101.53044167 E
McConkey et al 2018,2018,Different megafauna vary in their seed dispersal effectiveness of the megafaunal fruit Platymitra macrocarpa (Annonaceae),24,Elephant,Herbivore,Thailand,14.31092222 N,101.53044167 E
McConkey et al 2018,2018,Different megafauna vary in their seed dispersal effectiveness of the megafaunal fruit Platymitra macrocarpa (Annonaceae),24,Indian barking deer,Herbivore,Thailand,14.31092222 N,101.53044167 E
McConkey et al 2018,2018,Different megafauna vary in their seed dispersal effectiveness of the megafaunal fruit Platymitra macrocarpa (Annonaceae),24,Sambar,Herbivore,Thailand,14.31092222 N,101.53044167 E
McConkey et al 2022,2021,"Lost mutualisms: Seed dispersal by Sumatran rhinos, the worldís most threatened megafauna",2,Sumatran Rhinoceros,Herbivore,Indonesia,4.927575 S,105.77692778 E
Mckonkey & Galetti 1998,1998,Seed dispersal by the sun bear Helarctos malayanus in Central Borneo,12,Sunbear,Carnivore,Indonesia,1.68148889 S,113.38235556 E
Meena et al 2020,2020,"Crop Damage by the Blackbuck (Antilope Cervicapra) and other Ungulates in Around Rohat Region, Rajasthan, India",12,Blackbuck,Herbivore,India,25.95558611 N,73.142275 E
Meghwal et al 2018,2018,"Activity and social behaviour of four-horned antelope (Tetracerus quadricornis de Blainville, 1816) in tropical deciduous forests of Aravalli mountain range, Western India",24,Four-horned antelope,Herbivore,India,25.13411111 N,73.56356667 E
Mehta et al 2013,2013,"Food habits of Nilgai (Boselaphus Tragocamelus) as determined by Pellet Analysis in a human dominated landscape, Western Gujarat, India.",16,Nilgai,Herbivore,India,23.23221389 N,77.36643056 E
Meijaard 2000,2000,"Bearded pig (Sus barbatus) Ecology, conservation status, and research methodology",NA,Bornean bearded pig,Herbivore,NA,NA,NA
Mendiratta et al 2009,2009,"Winter Ecology of the Arunachal Macaque Macaca munzala in Pangchen Valley, Western Arunachal Pradesh, Northeastern India",6,Arunachal macaque,Primate,India,27.71404722 N,91.730425 E
Menon & Poirier 1995,1995,Lion-Tailed Macaques (Macaca silenus) in a Disturbed Forest Fragment: Activity Patterns and Time Budget,8,Lion-tailed macaque,Primate,India,10.65301111 N,76.99577222 E
"Menon, Shaily A 1993",1993,Ecology and conservation o f the endangered lion-tailed m acaque (Maeaea silcnus) in th e landscape m osaic of the W estern G hats,12,Lion-tailed macaque,Primate,India,10.65301111 N,76.99577222 E
Mety et al 2023,2023,"Food plants of Asian elephant (Elephas maximus) in Bonai Forest Division, Odisha, India",12,Elephant,Herbivore,India,21.81179722 N,84.82550833 E
Mewada & Dharaiya 2010,2010,"SEASONAL DIETARY COMPOSITION OF SLOTH BEAR (Melursus ursinus) IN THE RESERVE FOREST OF VIJAYNAGAR, NORTH GUJARAT, INDIA",12,Sloth bear,Carnivore,India,24.00705833 N,73.36018056 E
Mewada 2015,2015,Index of Relative Importance of the Dietary Proportions of Sloth Bear (Melursus ursinus) in Semi-Arid Region,12,Sloth bear,Carnivore,India,24.31397222 N,72.35146111 E
